Ime,Drzava,Tocke
Aryna Sabalenka,BLR,8550
Elena Rybakina,KAZ,8056
Jessica Pegula,USA,6625
Coco Gauff,USA,5649
Mirra Andreeva,RUS,5293
Karolina Muchova,CZE,5168
Linda Noskova,CZE,5016
Iga Swiatek,POL,4539
Elina Svitolina,UKR,4459
Amanda Anisimova,USA,4353
Marta Kostyuk,UKR,3925
Victoria Mboko,CAN,3520
Naomi Osaka,JPN,3281
Belinda Bencic,SUI,2845
Jasmine Paolini,ITA,2783
Iva Jovic,USA,2636
Diana Shnaider,RUS,2593
Sorana Cirstea,ROU,2502
Ekaterina Alexandrova,RUS,2301
Alexandra Eala,PHI,2106
Anna Kalinskaya,RUS,2083
Maja Chwalinska,POL,1975
Madison Keys,USA,1964
Elise Mertens,BEL,1948
Marie Bouzkova,CZE,1829
Barbora Krejcikova,CZE,1776
Anastasia Potapova,AUT,1726
Emma Navarro,USA,1724
Jelena Ostapenko,LAT,1592
Clara Tauson,DEN,1564
Ann Li,USA,1541
Hailey Baptiste,USA,1372
Maria Sakkari,GRE,1355
Leylah Fernandez,CAN,1344
Donna Vekic,CRO,1326
Janice Tjen,INA,1312
Katerina Siniakova,CZE,1285
Sara Bejlek,CZE,1269
Jaqueline  Cristian,ROU,1256
Cristina Bucsa,ESP,1244
Xinyu Wang,CHN,1238
Nikola Bartunkova,CZE,1231
Daria Snigur,UKR,1172
Oleksandra Oliynykova,UKR,1171
Lilli Tagger,AUT,1160
Magdalena Frech,POL,1160
Tamara Korpatsch,GER,1134
Mccartney Kessler,USA,1125
Mayar Sherif,EGY,1105
Emma Raducanu,GBR,1105
