PovezavaIme,DatumRojstva,Visina,Zmage,Porazi,Roka
aryna-sabalenka,1998-05-05,"5' 11"" (1.82m)",36,6,Right-Handed
elena-rybakina,1999-06-17,6' 0'' (1.84m),34,11,Right-Handed
jessica-pegula,1994-02-24,"5' 7"" (1.70m)",38,10,Right-Handed
coco-gauff,2004-03-13,5' 9'' (1.75m),31,12,Right-Handed
mirra-andreeva,2007-04-29,5' 9'' (1.75m),37,11,Right-Handed
karolina-muchova,1996-08-21,5' 11'' (1.80m),35,9,Right-Handed
linda-noskova,2004-11-17,5' 10'' (1.79m),27,11,Right-Handed
iga-swiatek,2001-05-31,5' 9'' (1.76m),23,12,Right-Handed
elina-svitolina,1994-09-12,"5' 9"" (1.74m)",36,11,Right-Handed
amanda-anisimova,2001-08-31,"5' 11"" (1.80m)",16,9,Right-Handed
marta-kostyuk,2002-06-28,"5' 9"" (1.75m)",27,6,Right-Handed
victoria-mboko,2006-08-26,"5' 11"" (1.80)",24,10,Right-Handed
naomi-osaka,1997-10-16,"5' 11"" (1.80 m)",22,9,Right-Handed
belinda-bencic,1997-03-10,"5' 9"" (1.75m)",23,9,Right-Handed
jasmine-paolini,1996-01-04,"5' 4"" (1.63m)",12,7,Right-Handed
iva-jovic,2007-12-06,"5' 8"" (1.73m)",29,14,Right-Handed
diana-shnaider,2004-04-02,"5' 6"" (1.70m)",21,16,Left-Handed
sorana-cirstea,1990-04-07,"5' 9"" (1.76m)",34,11,Right-Handed
ekaterina-alexandrova,1994-11-15,5' 9'' (1.75m),11,18,Right-Handed
alexandra-eala,2005-05-23,5' 9'' (1.75m),35,18,Left-Handed
anna-kalinskaya,1998-12-02,"5' 7"" (1.75m)",22,15,Right-Handed
maja-chwalinska,2001-10-11,"5' 5"" (1.64 m)",29,11,Left-Handed
madison-keys,1995-02-17,"5' 10"" (1.78m)",29,12,Right-Handed
elise-mertens,1995-11-17,"5' 10"" (1.79m)",14,8,Right-Handed
marie-bouzkova,1998-07-21,"5' 11"" (1.80m)",26,16,Right-Handed
barbora-krejcikova,1995-12-18,"5' 10"" (1.78m)",23,9,Right-Handed
anastasia-potapova,2001-03-30,"5' 7"" (1.75m)",26,17,Right-Handed
emma-navarro,2001-05-18,5' 7'' (1.70m),20,17,Right-Handed
jelena-ostapenko,1997-06-08,"5' 10"" (1.77m)",18,10,Right-Handed
clara-tauson,2002-12-21,6' (1.82 m),13,17,Right-Handed
ann-li,2000-06-26,"5' 7"" (1.70m)",17,19,Right-Handed
hailey-baptiste,2001-11-03,"5' 8"" (1.72m)",18,13,Right-Handed
maria-sakkari,1995-07-25,"5' 8"" (1.72m)",17,15,Right-Handed
leylah-fernandez,2002-09-06,"5' 6"" (1.68m)",13,20,Left-Handed
donna-vekic,1996-06-28,"5' 10"" (1.79m)",25,16,Right-Handed
janice-tjen,2002-05-06,5' 6'' (1.71m),10,20,Right-Handed
katerina-siniakova,1996-05-10,"5' 9"" (1.74m)",35,5,Right-Handed
sara-bejlek,2006-01-31,"5' 3"" (1.63 m)",16,13,Left-Handed
jaqueline-cristian,1998-06-05,5' 11'' (1.82m),17,16,Right-Handed
cristina-bucsa,1998-01-01,"5' 9"" (1.76m)",21,10,Right-Handed
xinyu-wang,2001-09-26,"5' 11"" (1.82m)",20,18,Right-Handed
nikola-bartunkova,2006-02-25,,26,16,Right-Handed
daria-snigur,2002-03-27,"5' 8"" (1.73 m)",40,13,Right-Handed
oleksandra-oliynykova,2001-01-03,,21,14,Right-Handed
lilli-tagger,2008-02-17,"6' 1"" (1.85m)",27,15,Right-Handed
magdalena-frech,1997-12-15,5' 7'' (1.71m),14,19,Right-Handed
tamara-korpatsch,1995-05-12,"5' 6"" (1.68m)",28,19,Right-Handed
mccartney-kessler,1999-07-08,"5' 9"" (1.75m)",17,17,Right-Handed
mayar-sherif,1996-05-05,5' 11'' (1.80m),33,16,Right-Handed
emma-raducanu,2002-11-13,5' 7'' (1.75m),11,10,Right-Handed
