Ime,Drzava,Tocke,DatumRojstva,Visina,Zmage,Porazi,Roka
Aryna Sabalenka,BLR,8550,1998-05-05,"5' 11"" (1.82m)",36.0,6.0,Right-Handed
Elena Rybakina,KAZ,8056,1999-06-17,6' 0'' (1.84m),34.0,11.0,Right-Handed
Jessica Pegula,USA,6625,1994-02-24,"5' 7"" (1.70m)",38.0,10.0,Right-Handed
Coco Gauff,USA,5649,2004-03-13,5' 9'' (1.75m),31.0,12.0,Right-Handed
Mirra Andreeva,RUS,5293,2007-04-29,5' 9'' (1.75m),37.0,11.0,Right-Handed
Karolina Muchova,CZE,5168,1996-08-21,5' 11'' (1.80m),35.0,9.0,Right-Handed
Linda Noskova,CZE,5016,2004-11-17,5' 10'' (1.79m),27.0,11.0,Right-Handed
Iga Swiatek,POL,4539,2001-05-31,5' 9'' (1.76m),23.0,12.0,Right-Handed
Elina Svitolina,UKR,4459,1994-09-12,"5' 9"" (1.74m)",36.0,11.0,Right-Handed
Amanda Anisimova,USA,4353,2001-08-31,"5' 11"" (1.80m)",16.0,9.0,Right-Handed
Marta Kostyuk,UKR,3925,2002-06-28,"5' 9"" (1.75m)",27.0,6.0,Right-Handed
Victoria Mboko,CAN,3520,2006-08-26,"5' 11"" (1.80)",24.0,10.0,Right-Handed
Naomi Osaka,JPN,3281,1997-10-16,"5' 11"" (1.80 m)",22.0,9.0,Right-Handed
Belinda Bencic,SUI,2845,1997-03-10,"5' 9"" (1.75m)",23.0,9.0,Right-Handed
Jasmine Paolini,ITA,2783,1996-01-04,"5' 4"" (1.63m)",12.0,7.0,Right-Handed
Iva Jovic,USA,2636,2007-12-06,"5' 8"" (1.73m)",29.0,14.0,Right-Handed
Diana Shnaider,RUS,2593,2004-04-02,"5' 6"" (1.70m)",21.0,16.0,Left-Handed
Sorana Cirstea,ROU,2502,1990-04-07,"5' 9"" (1.76m)",34.0,11.0,Right-Handed
Ekaterina Alexandrova,RUS,2301,1994-11-15,5' 9'' (1.75m),11.0,18.0,Right-Handed
Alexandra Eala,PHI,2106,2005-05-23,5' 9'' (1.75m),35.0,18.0,Left-Handed
Anna Kalinskaya,RUS,2083,1998-12-02,"5' 7"" (1.75m)",22.0,15.0,Right-Handed
Maja Chwalinska,POL,1975,2001-10-11,"5' 5"" (1.64 m)",29.0,11.0,Left-Handed
Madison Keys,USA,1964,1995-02-17,"5' 10"" (1.78m)",29.0,12.0,Right-Handed
Elise Mertens,BEL,1948,1995-11-17,"5' 10"" (1.79m)",14.0,8.0,Right-Handed
Marie Bouzkova,CZE,1829,1998-07-21,"5' 11"" (1.80m)",26.0,16.0,Right-Handed
Barbora Krejcikova,CZE,1776,1995-12-18,"5' 10"" (1.78m)",23.0,9.0,Right-Handed
Anastasia Potapova,AUT,1726,2001-03-30,"5' 7"" (1.75m)",26.0,17.0,Right-Handed
Emma Navarro,USA,1724,2001-05-18,5' 7'' (1.70m),20.0,17.0,Right-Handed
Jelena Ostapenko,LAT,1592,1997-06-08,"5' 10"" (1.77m)",18.0,10.0,Right-Handed
Clara Tauson,DEN,1564,2002-12-21,6' (1.82 m),13.0,17.0,Right-Handed
Ann Li,USA,1541,2000-06-26,"5' 7"" (1.70m)",17.0,19.0,Right-Handed
Hailey Baptiste,USA,1372,2001-11-03,"5' 8"" (1.72m)",18.0,13.0,Right-Handed
Maria Sakkari,GRE,1355,1995-07-25,"5' 8"" (1.72m)",17.0,15.0,Right-Handed
Leylah Fernandez,CAN,1344,2002-09-06,"5' 6"" (1.68m)",13.0,20.0,Left-Handed
Donna Vekic,CRO,1326,1996-06-28,"5' 10"" (1.79m)",25.0,16.0,Right-Handed
Janice Tjen,INA,1312,2002-05-06,5' 6'' (1.71m),10.0,20.0,Right-Handed
Katerina Siniakova,CZE,1285,1996-05-10,"5' 9"" (1.74m)",35.0,5.0,Right-Handed
Sara Bejlek,CZE,1269,2006-01-31,"5' 3"" (1.63 m)",16.0,13.0,Left-Handed
Jaqueline  Cristian,ROU,1256,,,,,
Cristina Bucsa,ESP,1244,1998-01-01,"5' 9"" (1.76m)",21.0,10.0,Right-Handed
Xinyu Wang,CHN,1238,2001-09-26,"5' 11"" (1.82m)",20.0,18.0,Right-Handed
Nikola Bartunkova,CZE,1231,2006-02-25,,26.0,16.0,Right-Handed
Daria Snigur,UKR,1172,2002-03-27,"5' 8"" (1.73 m)",40.0,13.0,Right-Handed
Oleksandra Oliynykova,UKR,1171,2001-01-03,,21.0,14.0,Right-Handed
Lilli Tagger,AUT,1160,2008-02-17,"6' 1"" (1.85m)",27.0,15.0,Right-Handed
Magdalena Frech,POL,1160,1997-12-15,5' 7'' (1.71m),14.0,19.0,Right-Handed
Tamara Korpatsch,GER,1134,1995-05-12,"5' 6"" (1.68m)",28.0,19.0,Right-Handed
Mccartney Kessler,USA,1125,1999-07-08,"5' 9"" (1.75m)",17.0,17.0,Right-Handed
Mayar Sherif,EGY,1105,1996-05-05,5' 11'' (1.80m),33.0,16.0,Right-Handed
Emma Raducanu,GBR,1105,2002-11-13,5' 7'' (1.75m),11.0,10.0,Right-Handed
